name;avatar;birthday;seiyu;director;storyboard;originalCreator;seriesComposition;episodeDirector;assistantDirector;screenPlay;script;story;themeSonglyrics;producer;keyAnimation;themeSongPerformance
Hiroki Uchida / Хироки Утида;;1991-05-27;;;;;8;;;1;4;;;;;
Kyouhei Ishiguro / Кёхэй Исигуро;/staff/2.png;1980-04-02;;8;15;;;19;;;2;1;;;;
Akira Amano / Акира Амано;/staff/3.png;1973-06-22;;;;4;;;;;;9;;;;
Eku Takeshima / Эку Такэсима;/staff/4.png;;;;;2;;;;;;10;;;;
Kenichi Imaizumi / Кэнъити Имаидзуми;;;;10;29;;;17;;;;;;;12;
Norio Fukui / Норио Фукуи;/staff/6.png;;;;;;;;;;;;;30;;
Hiro Kaburagi / Хиро Кабураги;/staff/7.png;;;15;24;;1;27;1;;7;;;;1;
Akihito Tsukushi / Акихито Цукуси;/staff/8.png;1979-05-05;;;;8;;;;;;2;;;1;
Goose house;/staff/9.png;;;;;;;;;;;;2;;;2
Aki Hamaji / Аки Хамадзи;/staff/10.png;;;;;3;;;;;;6;;;;
Kazuki Endou / Кадзуки Эндо;/staff/11.png;;;;;;;;;;;;;9;;
sing N song;/staff/12.png;;;;;1;;;;;;3;;;;
Ai Higuchi / Ай Хигути;/staff/13.png;1989-11-28;;;;;;;;;;;4;;;4
Keiichirou Saitou / Кэйитиро Сайто;/staff/14.png;1993-01-18;;5;8;;;9;;;;;;;36;
Kaito Ishikawa / Кайто Исикава;/staff/15.png;1993-10-13;191;;;;;;;;;;;;;9
Yoshino Aoyama / Ёсино Аояма;/staff/16.png;1996-05-15;49;;;;;;;;;;;;;3
Ikumi Hasegawa / Икуми Хасэгава;/staff/17.png;;67;;;;;;;;;;;;;12
Rumi Ookubo / Руми Окубо;/staff/18.png;1989-09-27;106;;;;;;;;;;;;;19
Ken Narita / Кэн Нарита;/staff/19.png;1964-05-18;108;;;;;;;;;;;;;1
Neeko;/staff/20.png;1983-10-28;5;;;;;;;;;;;;;
Hibiku Yamamura / Хибику Ямамура;/staff/21.png;1988-02-10;73;;;;;;;;;;;;;8
Mayu Matsuoka / Маю Мацуока;/staff/22.png;1995-02-16;4;;;;;;;;;;;;;
Miyu Irino / Мию Ирино;/staff/23.png;1988-02-19;123;;;;;;;;;;;;;10
Shiori Izawa / Сиори Идзава;/staff/24.png;1987-02-01;100;;;;;;;;;;;;;8
